Show Breadcrumbs  -  
Show Code Completion Popup  Ctrl+SPACE, Ctrl+BACK_SLASH  
Show Documentation Popup  Ctrl+Shift+BACK_SLASH, Ctrl+Shift+SPACE  
Show Indent Guide Lines  -  
Show Method Parameters  Ctrl+P  
Split Line  Ctrl+ENTER  
Start New Line  Shift+ENTER  
Switch Capitalization of Identifier  -  
Switch Case  Ctrl+U S  
To Lowercase  Ctrl+U L  
To Uppercase  Ctrl+U U  
Toggle Highlight Search  Alt+Shift+H  
Toggle Line Numbers  -  
Toggle Non-printable Characters  -  
Toggle Rectangular Selection  Ctrl+Shift+R  
Toggle Toolbar  -  
Toggle Typing Mode  INSERT  
Transpose Letters  Ctrl+T  
XML Comment  -  
XML Dump  -  
XML Uncomment  -  
Zoom Text In  Alt+MOUSE_WHEEL_UP  
Zoom Text Out  Alt+MOUSE_WHEEL_DOWN  
toggle-comment  Ctrl+Shift+C, Ctrl+SLASH  

Output Window 
 
Clear  Ctrl+L  
Close  Ctrl+F4  
Filter...  Ctrl+G  
Larger Font  Ctrl+UP  
Save As...  Ctrl+S  
Settings...  -  
Smaller Font  Ctrl+DOWN  
Wrap text  Ctrl+R  

PHP 
 
Doctrine2: Run Command...  -  
Download...  -  
Run Framework Command...  Alt+Shift+X  
Symfony2: Clear Cache  -  
Symfony2: Run Command...  -  
Symfony2: Warmup Cache  -  
Symfony: Clear Cache  -  
Symfony: Run Command...  -  
Synchronize...  -  
Upload...  -  
Zend: Run Command...  -  

Profile 
 
Profile the IDE  Alt+Shift+Y  

Project 
 
 -  
Build Main Project  Alt+F11, F11  
Build Project  -  
Clean Main Project  -  
Clean Project  -  
Clean and Build Main Project  Alt+Shift+F11, Shift+F11  
Clean and Build Project  -  
Close Project  -  
Collapse All  -  
Compile File  F9  
Copy...  -  
Delete  -  
Files  Ctrl+2  
From ZIP...  -  
Generate Javadoc  -  
Move...  -  
New File...  -  
New Project...  Ctrl+Shift+N  
Open Project of Folder  -  
Open Project...  Ctrl+Shift+O  
Open Recent Project  -  
Open Required Projects  -  
Project Groups...  -  
Project Properties  -  
Projects  Ctrl+1  
Rename...  -  
Repeat Build/Run  Ctrl+F11  
Resolve Project Problems...  -  
Run File  Shift+F6  
Run Main Project  F6  
Run Project  -  
Run Selenium Tests  -  
Save as Template  -  
Set Project Browser  -  
Set Project Configuration  -  
Set as Main Project  -  
Show Selected Node(s) Project Owner  -  
Stop Build/Run  -  
Synchronize Editor with Views  -  
Test File  Ctrl+F6  
Test Project  Alt+F6  
To ZIP...  -  

Refactor 
 
Copy...  Alt+C  
Extract Inline Style...  -  
Find Usages  Alt+F7  
Move...  Ctrl+M  
Refactor  -  
Rename...  Ctrl+R  
Safely Delete...  Alt+DELETE  

Source 
 
Comment  -  
Edit CSS Rules  -  
Fix Code...  Alt+ENTER  
Format  Alt+Shift+F  
Inspect...  -  
Next Error in Editor  -  
Next Matching Word  Ctrl+Shift+K  
Previous Matching Word  Ctrl+K  
Refresh Metadata  -  
Scan for External Changes  -  
Shift Line Left  Alt+Shift+KP_LEFT, Alt+Shift+LEFT  
Shift Line Right  Alt+Shift+RIGHT, Alt+Shift+KP_RIGHT  
Uncomment  -  

Subversion 
 
Checkout...  -  
Cleanup  -  
Commit...  -  
Copy to...  -  
Diff  -  
Exclude "InvoiceView.js" from Commit  -  
Export Uncommitted Changes...  -  
Export...  -  
Ignore  -  
Import into Repository...  -  
Mark Resolved  -  
Merge to...  -  
Properties  -  
Relocate...  -  
Resolve Conflicts...  -  
Revert Modifications...  -  
Search History...  -  
Shelve Changes...  -  
Show Annotations  -  
Show Changes  -  
Subversion  -  
Switch to...  -  
Update Project with Dependencies  -  
Update to HEAD  -  
Update to...  -  
Upgrade Working Copy  -  
Versioning Info  -  

System 
 
Add  -  
Add Cloud...  -  
Add Server...  -  
Cancel Process  Ctrl+Shift+DELETE  
Change Order...  -  
Check for Updates  -  
Close  -  
DTDs and XML Schemas  -  
Edit  -  
Exit  -  
Filesystem Action  -  
Garbage Collect  -  
Instantiate  -  
Keep Prior Tabs  -  
Move Down  -  
Move Up  -  
New  -  
New Mode  -  
Next Error  Ctrl+PERIOD  
Open  -  
Open File...  -  
Open Recent File  Ctrl+Shift+T  
Page Setup...  -  
Plugins  -  
Popup  Shift+F10, CONTEXT_MENU  
Previous Error  Ctrl+COMMA  
Print...  -  
Properties  -  
Refresh Folder  -  
Rename...  -  
Run SQL  Ctrl+Shift+E  
Run SQL Selection  -  
SQL History  Ctrl+Alt+Shift+H  
Save  Ctrl+S  
Save All  Ctrl+Shift+S  
Save As Template...  -  
Save As...  -  
Templates  -  
Tools  -  
View  -  

Team 
 
 -  
Create Build Job...  -  
Log In...  -  
New Build...  -  
Open in Browser  -  
Persist  -  
View  -  

Terminal 
 
Clear  -  
Close  Ctrl+Shift+W  
Copy  Ctrl+Shift+C  
Dump Sequences  -  
Find  -  
Larger Font  -  
Paste  Ctrl+Shift+V  
Pin Tab...  -  
Set Title...  -  
Smaller Font  -  
Wrap lines  -  

Tools 
 
Ant Variables  -  
Apply Diff Patch...  -  
Cloud Providers  -  
Code Clips  -  
Diff  -  
Go to File...  Alt+Shift+O  
HTML/JSP Code Clips  -  
Libraries  -  
Servers  -  
Show Diff Sidebar  -  

Unit Tests 
 
Create/Update Tests  Ctrl+Shift+U  
Go to Test/Tested class  Ctrl+Alt+T  
Set Karma Configuration  -  

Versioning 
 
Show Versioning Labels  -  
Versioning Output  -  

Versioning/Additional 
 
 -  

Versioning/UnshelveChanges 
 
Unshelve Changes...  -  

View 
 
 -  
Collapse All  Ctrl+Shift+MINUS, Ctrl+Shift+SUBTRACT  
Collapse Fold  Ctrl+MINUS, Ctrl+SUBTRACT  
Customize  -  
Customize Zoom  -  
Expand All  Ctrl+Shift+ADD, Ctrl+Shift+PLUS, Ctrl+Shift+EQUALS  
Expand Fold  Ctrl+PLUS, Ctrl+EQUALS, Ctrl+ADD  
IDE Log  -  
Web Browser  -  
Zoom In  -  
Zoom Out  -  

Window 
 
Action Items  Ctrl+6  
Add to Favorites  -  
Browser DOM  -  
CSS Styles  -  
Clone Document  -  
Close All Documents  Ctrl+Shift+F4, Ctrl+Shift+W  
Close Group  -  
Close Other Documents  -  
Close Window  Ctrl+F4, Ctrl+W  
Collapse Document Tab Group  -  
Dock  Alt+Shift+D  
Dock Group  -  
Document Groups  -  
Documents...  Shift+F4  
Editor  Ctrl+0  
Exception Reporter  -  
Export Shortcuts to HTML  -  
Favorites  Ctrl+3  
Find Usages Results  Alt+Shift+U  
Float  -  
Float Group  -  
Full Screen  Alt+Shift+ENTER  
Go to Previous Document  -  
Go to Previous Window  -  
Inspector  -  
Knockout  -  
LocalTerminalAction  -  
Maximize  Shift+ESCAPE  
Minimize  -  
Minimize Group  -  
Move  -  
Move Group  -  
Navigator  Ctrl+7  
Network Monitor  -  
New Document Tab Group  -  
Next Inner View  Ctrl+Alt+PAGE_DOWN  
Next Tab  Ctrl+PAGE_DOWN  
Notifications  -  
Open in Terminal  Alt+Shift+K  
Options  -  
Output  Ctrl+4  
Palette  Ctrl+Shift+8  
Previous Inner View  Ctrl+Alt+PAGE_UP  
Previous Tab  Ctrl+PAGE_UP  
Processes  -  
Properties  Ctrl+Shift+7  
Refactoring Preview  -  
Reload Windows  -  
RemoteTerminalAction  -  
Remove from Favorites  -  
Reset Windows  -  
Save Window Setup  -  
Search Results  Ctrl+Shift+0  
Services  Ctrl+5  
Shift Window Tab Left  Ctrl+Alt+Shift+LEFT  
Shift Window Tab Right  Ctrl+Alt+Shift+RIGHT  
Show Only Editor  Ctrl+Shift+ENTER  
Size Group  -  
Switch Role  -  
Tasks  Ctrl+Shift+6  
Terminal  -  
TerminalSettingsAction  -  
Test Results  Alt+Shift+R  
Toolbars  -  

Window/Debug 
 
Breakpoints  Alt+Shift+5  
Call Stack  Alt+Shift+3  
Debugging  Alt+Shift+9  
Sessions  Alt+Shift+6  
Sources  Alt+Shift+8  
Threads  Alt+Shift+7  
Variables  Alt+Shift+1  
Watches  Alt+Shift+2  

Window/SelectDocumentNode 
 
Select in Favorites  Ctrl+Shift+3  
Select in Files  Ctrl+Shift+2  
Select in Projects  Ctrl+Shift+1  

XML 
 
All DTD actions  -  
All XML actions  -  
Check DTD  -  
Check File  Alt+F9  
Generate DTD...  -  
Validate File  Alt+Shift+F9  
XSL Transformation...  -  
